State,District,Total_Households,Connections_2019,Connections_2020,Connections_2021,Connections_Current
A & N Islands,Nicobars,8827,1562,1562,8827,8827
A & N Islands,North And Middle Andaman,24400,10508,10508,24400,24400
A & N Islands,South Andamans,28810,16477,16477,28810,28810
Andhra Pradesh,Alluri Sitharama Raju,290912,23470,23470,23470,180917
Andhra Pradesh,Anakapalli,417489,67359,67359,67359,302975
Andhra Pradesh,Ananthapuramu,434468,190477,338713,434468,434468
Andhra Pradesh,Annamayya,363710,181397,181397,181397,363710
Andhra Pradesh,Bapatla,364788,72292,72292,72292,156326
Andhra Pradesh,Chittoor,370234,225169,370234,370234,370234
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,402434,58474,58474,58474,306188
Andhra Pradesh,East Godavari,356543,164538,306548,356543,356543
Andhra Pradesh,Eluru,479752,256892,256892,256892,418785
Andhra Pradesh,Guntur,233883,124676,221270,233883,233883
Andhra Pradesh,Kakinada,389205,101973,101973,101973,336129
Andhra Pradesh,Krishna,375691,112952,261670,375691,375691
Andhra Pradesh,Kurnool,345790,90710,213683,344856,344856
Andhra Pradesh,Nandyal,346130,122973,122973,122973,265060
Andhra Pradesh,Ntr,267874,77226,77226,77226,163925
Andhra Pradesh,Palnadu,434399,58166,58166,58166,163169
Andhra Pradesh,Parvathipuram Manyam,222495,2847,2847,2847,165114
Andhra Pradesh,Prakasam,476454,119510,211998,368840,368840
Andhra Pradesh,Sri Potti Sriramulu Nellore,460415,237344,281834,413011,413011
Andhra Pradesh,Sri Sathya Sai,365072,144890,144890,144890,309588
Andhra Pradesh,Srikakulam,535764,13995,16985,142203,238438
Andhra Pradesh,Tirupati,417349,240311,240311,240311,417349
Andhra Pradesh,Visakhapatnam,59338,10395,59338,59338,59338
Andhra Pradesh,Vizianagaram,444171,13692,18070,260149,312735
Andhra Pradesh,West Godavari,369137,170983,369137,369137,369137
Andhra Pradesh,Y.S.R.,329890,191599,300578,329890,329890
Arunachal Pradesh,Anjaw,5179,1082,1192,3616,5179
Arunachal Pradesh,Changlang,25243,1724,3801,13242,25243
Arunachal Pradesh,Dibang Valley,2173,332,394,2119,2173
Arunachal Pradesh,East Kameng,6197,79,169,5258,6197
Arunachal Pradesh,East Siang,8847,969,1199,4988,8847
Arunachal Pradesh,Kamle,4728,589,1077,3341,4728
Arunachal Pradesh,Kra Daadi,8704,584,598,4245,8704
Arunachal Pradesh,Kurung Kumey,8814,411,1063,5801,8814
Arunachal Pradesh,Leparada,3211,654,743,2229,3211
Arunachal Pradesh,Lohit,6642,881,926,4922,6642
Arunachal Pradesh,Longding,10473,336,774,4602,10473
Arunachal Pradesh,Lower Dibang Valley,10781,283,599,7224,10781
Arunachal Pradesh,Lower Siang,5077,1318,1497,4148,5077
Arunachal Pradesh,Lower Subansiri,9856,747,1846,5493,9856
Arunachal Pradesh,Namsai,16549,549,843,11761,16549
Arunachal Pradesh,Pakke Kessang,3591,24,306,2195,3591
Arunachal Pradesh,Papum Pare,24475,2316,3744,10806,24475
Arunachal Pradesh,Shi Yomi,2238,447,521,1762,2238
Arunachal Pradesh,Siang,4942,166,454,3908,4942
Arunachal Pradesh,Tawang,11972,516,3121,6648,11972
Arunachal Pradesh,Tirap,10329,231,264,5767,10329
Arunachal Pradesh,Upper Siang,5606,2509,2914,4594,5606
Arunachal Pradesh,Upper Subansiri,9082,166,721,5372,9082
Arunachal Pradesh,West Kameng,18554,3785,5157,15251,18554
Arunachal Pradesh,West Siang,5303,2098,2223,4087,5303
Assam,Bajali,73508,579,579,579,66759
Assam,Baksa,145583,862,3739,94748,121559
Assam,Barpeta,294939,293,5696,118389,258684
Assam,Biswanath,195636,2855,3644,35072,159378
Assam,Bongaigaon,163707,228,653,40931,141971
Assam,Cachar,408259,29219,32644,200779,354793
Assam,Charaideo,120004,1519,1697,33704,96805
Assam,Chirang,134762,1662,1791,13466,93633
Assam,Darrang,227710,1994,3017,73523,192659
Assam,Dhemaji,196783,338,980,53409,157841
Assam,Dhubri,313811,401,432,81713,238072
Assam,Dibrugarh,269894,1752,2527,81848,220039
Assam,Dima Hasao,40319,380,469,7360,35469
Assam,Goalpara,251907,991,3185,61843,213795
Assam,Golaghat,271535,7051,9944,89376,223016
Assam,Hailakandi,184100,1819,5009,83406,148447
Assam,Hojai,199018,353,4340,45744,166026
Assam,Jorhat,204246,19599,20277,67838,144767
Assam,Kamrup,402650,5798,8270,156014,319047
Assam,Kamrup Metro,63284,4304,6101,49663,55181
Assam,Karbi Anglong,171921,344,580,28421,91838
Assam,Karimganj,297832,4331,5214,146423,264867
Assam,Kokrajhar,229439,877,2256,77267,202893
Assam,Lakhimpur,268695,1086,2850,95687,232559
Assam,Majuli,51073,440,971,36127,47426
Assam,Marigaon,238572,347,1189,56240,172391
Assam,Nagaon,428219,1990,4692,131093,343028
Assam,Nalbari,188014,4992,5921,74248,166179
Assam,Sivasagar,178650,4709,7172,68197,163193
Assam,Sonitpur,296340,6733,12059,104568,237376
Assam,South Salmara Mancachar,93445,89,97,7007,79631
Assam,Tamulpur,102142,1697,1697,1697,88482
Assam,Tinsukia,243639,803,1189,65961,202004
Assam,Udalguri,210555,741,1289,40711,176651
Assam,West Karbi Anglong,64048,135,243,8089,36881
Bihar,Araria,566348,34583,54322,456721,559731
Bihar,Arwal,123056,3356,58799,122064,122064
